Date,Temp_C,Discharge_cms,Prism_Precip,5_day,10_day,15_day,20_day,tmin,tmean,tmax
12/19/2017,4.821246649,0.010654769,0,0,0,0,0,-9.9,-2,6
12/20/2017,4.918535868,0.010650168,0,0,0,0,0,-7,0.8,8.7
12/21/2017,4.417393363,0.010664074,2.032,0,0,0,0,-12.1,-3.4,5.3
12/22/2017,2.853899377,0.010681413,0,2.032,2.032,2.032,2.032,-15.2,-10.9,-6.7
12/23/2017,4.174053587,0.010693731,0,2.032,2.032,2.032,2.032,-14.1,-5.4,3.2
12/24/2017,5.066441259,0.010703529,0,2.032,2.032,2.032,2.032,-5.7,0.1,5.9
12/25/2017,6.187965851,0.01068556,0,2.032,2.032,2.032,2.032,-4,2.2,8.3
12/26/2017,5.390209622,0.010668895,0,2.032,2.032,2.032,2.032,-2.2,3.1,8.4
12/27/2017,5.026960052,0.01066779,0,0,2.032,2.032,2.032,-4.5,1.9,8.2
12/28/2017,5.123311856,0.010674655,0,0,2.032,2.032,2.032,-4,3.8,11.7
12/29/2017,5.414220253,0.010700293,0,0,2.032,2.032,2.032,-2.7,4.7,12.1
12/30/2017,5.534371349,0.010702784,0,0,2.032,2.032,2.032,-0.5,6.6,13.7
12/31/2017,5.474140249,0.010692005,0,0,2.032,2.032,2.032,-0.7,5.8,12.3
1/1/2018,5.053123389,0.010681158,0,0,0,2.032,2.032,-4.4,2.3,9
1/2/2018,4.863768363,0.010662627,0,0,0,2.032,2.032,-5.2,2.5,10.3
1/3/2018,4.820551546,0.010653786,0,0,0,2.032,2.032,-5.9,-0.1,5.6
1/4/2018,5.327800687,0.010655691,0,0,0,2.032,2.032,-5.2,0.8,6.9
1/5/2018,5.754507195,0.010656881,0,0,0,2.032,2.032,-5.8,1.9,9.6
1/6/2018,6.143957259,0.010658531,0,0,0,0,2.032,-3.1,3.2,9.6
1/7/2018,6.273241516,0.010657561,1.27,0,0,0,2.032,-4.9,0.6,6.1
1/8/2018,5.761519652,0.010654257,0,1.27,1.27,1.27,3.302,-7.1,-0.1,6.9
1/9/2018,6.675455541,0.010648179,1.524,1.27,1.27,1.27,3.302,-4.3,-0.1,4.2
1/10/2018,6.17713982,0.010643882,16.256,2.794,2.794,2.794,4.826,-5.5,-0.8,3.9
1/11/2018,5.471540056,0.010645532,0.762,19.05,19.05,19.05,19.05,-6.4,-2.9,0.6
1/12/2018,5.340462736,0.010628168,0,19.812,19.812,19.812,19.812,-7.7,-1,5.7
1/13/2018,5.270029639,0.010619243,0,18.542,19.812,19.812,19.812,-7.4,0.1,7.6
1/14/2018,5.793177083,0.01062281,0,18.542,19.812,19.812,19.812,-7.2,1.5,10.1
1/15/2018,6.329569158,0.010624172,0,17.018,19.812,19.812,19.812,-5.3,2.2,9.6
1/16/2018,6.306049184,0.010619193,0,0.762,19.812,19.812,19.812,-5.6,2,9.7
1/17/2018,6.039441259,0.010622312,0,0,19.812,19.812,19.812,-6.5,0.3,7.1
1/18/2018,5.895989476,0.010627602,0,0,18.542,19.812,19.812,-6.7,0.4,7.5
1/19/2018,6.122257947,0.010629332,0,0,18.542,19.812,19.812,-5.1,2.2,9.4
1/20/2018,6.021229489,0.010632552,1.016,0,17.018,19.812,19.812,-3.5,2.7,8.8
1/21/2018,4.021209837,0.010639675,7.62,1.016,1.778,20.828,20.828,-12.6,-6.1,0.4
1/22/2018,2.928267397,0.010629834,0,8.636,8.636,28.448,28.448,-16.2,-9.9,-3.5
1/23/2018,3.740673217,0.010625973,0,8.636,8.636,27.178,28.448,-16.3,-6.8,2.7
1/24/2018,4.187331078,0.010628802,0,8.636,8.636,27.178,28.448,-11.3,-4,3.4
1/25/2018,4.910599871,0.010621429,0,8.636,8.636,25.654,28.448,-9.2,-0.7,7.7
1/26/2018,4.775743879,0.010612239,0,7.62,8.636,9.398,28.448,-10.6,-2.4,5.8
1/27/2018,3.724922251,0.010596292,0,0,8.636,8.636,28.448,-13.9,-5.8,2.3
1/28/2018,4.615204897,0.010591796,0,0,8.636,8.636,27.178,-12.2,-2.9,6.4
1/29/2018,5.841180627,0.010583772,0,0,8.636,8.636,27.178,-5.9,0.6,7.2
1/30/2018,5.940948991,0.010576251,0,0,8.636,8.636,25.654,-5,2.7,10.4
1/31/2018,5.947263638,0.010572647,0,0,7.62,8.636,9.398,-3.4,4.5,12.4
2/1/2018,5.952013101,0.010574071,0,0,0,8.636,8.636,-1,5.2,11.5
2/2/2018,6.148006229,0.010565496,0,0,0,8.636,8.636,-2.5,5.1,12.7
2/3/2018,6.293029424,0.010553695,0,0,0,8.636,8.636,-2.9,4.3,11.6
2/4/2018,6.109250215,0.010546615,0,0,0,8.636,8.636,-2.7,4,10.6
2/5/2018,6.214505262,0.010545307,0,0,0,7.62,8.636,-2.4,5,12.3
2/6/2018,6.231861147,0.010543624,0,0,0,0,8.636,-2.4,4.8,12.1
2/7/2018,5.077677406,0.010544153,0,0,0,0,8.636,-8.2,-1.6,5.1
2/8/2018,5.832363402,0.010539603,0,0,0,0,8.636,-8.7,0.6,9.8
2/9/2018,6.345806594,0.010541592,0,0,0,0,8.636,-5.3,3,11.4
2/10/2018,6.073891967,0.010538133,0,0,0,0,7.62,-2.2,5,12.1
2/11/2018,4.397606422,0.010535464,0,0,0,0,0,-13.1,-2,9
2/12/2018,5.095001289,0.010533357,0,0,0,0,0,-11.9,-4.3,3.3
2/13/2018,5.209555735,0.01054214,12.446,0,0,0,0,-6.5,-3.1,0.3
2/14/2018,5.910167633,0.010537061,1.778,12.446,12.446,12.446,12.446,-6.3,-2.1,2
